# List of configurations
Dataset,TrialIndex,LabelRatio,IterationCount,LR,ClsRatio,PretrainedEncoder,EncoderModel,OptimizerModel,BatchSize,UseFMR,FMRCoef,EBRMethod,FMRCoefMethod,MaxFMRCoef
iNaturalist,0,15,30001,0.001,10.0,TRUE,resnet50,SGD,64,False,0.0,CROSS_ENTROPY,META_CALCULATED,0.0
iNaturalist,0,15,30001,0.001,10.0,TRUE,resnet50,SGD,64,TRUE,0.0,CROSS_ENTROPY,META_CALCULATED,0.0
iNaturalist,0,30,30001,0.001,10.0,TRUE,resnet50,SGD,64,False,0.0,CROSS_ENTROPY,META_CALCULATED,0.0
iNaturalist,0,30,30001,0.001,10.0,TRUE,resnet50,SGD,64,TRUE,0.0,CROSS_ENTROPY,META_CALCULATED,0.0
iNaturalist,0,50,30001,0.001,10.0,TRUE,resnet50,SGD,64,False,0.0,CROSS_ENTROPY,META_CALCULATED,0.0
iNaturalist,0,50,30001,0.001,10.0,TRUE,resnet50,SGD,64,TRUE,0.0,CROSS_ENTROPY,META_CALCULATED,0.0
iNaturalist,1,15,30001,0.001,10.0,TRUE,resnet50,SGD,64,False,0.0,CROSS_ENTROPY,META_CALCULATED,0.0
iNaturalist,1,15,30001,0.001,10.0,TRUE,resnet50,SGD,64,TRUE,0.0,CROSS_ENTROPY,META_CALCULATED,0.0
iNaturalist,1,30,30001,0.001,10.0,TRUE,resnet50,SGD,64,False,0.0,CROSS_ENTROPY,META_CALCULATED,0.0
iNaturalist,1,30,30001,0.001,10.0,TRUE,resnet50,SGD,64,TRUE,0.0,CROSS_ENTROPY,META_CALCULATED,0.0
iNaturalist,1,50,30001,0.001,10.0,TRUE,resnet50,SGD,64,False,0.0,CROSS_ENTROPY,META_CALCULATED,0.0
iNaturalist,1,50,30001,0.001,10.0,TRUE,resnet50,SGD,64,TRUE,0.0,CROSS_ENTROPY,META_CALCULATED,0.0
iNaturalist,2,15,30001,0.001,10.0,TRUE,resnet50,SGD,64,False,0.0,CROSS_ENTROPY,META_CALCULATED,0.0
iNaturalist,2,15,30001,0.001,10.0,TRUE,resnet50,SGD,64,TRUE,0.0,CROSS_ENTROPY,META_CALCULATED,0.0
iNaturalist,2,30,30001,0.001,10.0,TRUE,resnet50,SGD,64,False,0.0,CROSS_ENTROPY,META_CALCULATED,0.0
iNaturalist,2,30,30001,0.001,10.0,TRUE,resnet50,SGD,64,TRUE,0.0,CROSS_ENTROPY,META_CALCULATED,0.0
iNaturalist,2,50,30001,0.001,10.0,TRUE,resnet50,SGD,64,False,0.0,CROSS_ENTROPY,META_CALCULATED,0.0
iNaturalist,2,50,30001,0.001,10.0,TRUE,resnet50,SGD,64,TRUE,0.0,CROSS_ENTROPY,META_CALCULATED,0.0
