# List of configurations
Dataset,TrialIndex,LabelRatio,IterationCount,LR,ClsRatio,PretrainedEncoder,EncoderModel,OptimizerModel,BatchSize,UseFMR,FMRCoef,EBRMethod,FMRCoefMethod,MaxFMRCoef
FGVCAC,0,10,30001,0.001,10.0,TRUE,ResNet50,SGD,24,FALSE,0.0,CROSS_ENTROPY,META_CALCULATED,0.0
FGVCAC,0,15,30001,0.001,10.0,TRUE,ResNet50,SGD,24,FALSE,0.0,CROSS_ENTROPY,META_CALCULATED,0.0
FGVCAC,0,30,30001,0.001,10.0,TRUE,ResNet50,SGD,24,FALSE,0.0,CROSS_ENTROPY,META_CALCULATED,0.0
FGVCAC,0,50,30001,0.001,10.0,TRUE,ResNet50,SGD,24,FALSE,0.0,CROSS_ENTROPY,META_CALCULATED,0.0
FGVCAC,0,100,30001,0.001,10.0,TRUE,ResNet50,SGD,24,FALSE,0.0,CROSS_ENTROPY,META_CALCULATED,0.0
FGVCAC,1,10,30001,0.001,10.0,TRUE,ResNet50,SGD,24,FALSE,0.0,CROSS_ENTROPY,META_CALCULATED,0.0
FGVCAC,1,15,30001,0.001,10.0,TRUE,ResNet50,SGD,24,FALSE,0.0,CROSS_ENTROPY,META_CALCULATED,0.0
FGVCAC,1,30,30001,0.001,10.0,TRUE,ResNet50,SGD,24,FALSE,0.0,CROSS_ENTROPY,META_CALCULATED,0.0
FGVCAC,1,50,30001,0.001,10.0,TRUE,ResNet50,SGD,24,FALSE,0.0,CROSS_ENTROPY,META_CALCULATED,0.0
FGVCAC,1,100,30001,0.001,10.0,TRUE,ResNet50,SGD,24,FALSE,0.0,CROSS_ENTROPY,META_CALCULATED,0.0
FGVCAC,2,10,30001,0.001,10.0,TRUE,ResNet50,SGD,24,FALSE,0.0,CROSS_ENTROPY,META_CALCULATED,0.0
FGVCAC,2,15,30001,0.001,10.0,TRUE,ResNet50,SGD,24,FALSE,0.0,CROSS_ENTROPY,META_CALCULATED,0.0
FGVCAC,2,30,30001,0.001,10.0,TRUE,ResNet50,SGD,24,FALSE,0.0,CROSS_ENTROPY,META_CALCULATED,0.0
FGVCAC,2,50,30001,0.001,10.0,TRUE,ResNet50,SGD,24,FALSE,0.0,CROSS_ENTROPY,META_CALCULATED,0.0
FGVCAC,2,100,30001,0.001,10.0,TRUE,ResNet50,SGD,24,FALSE,0.0,CROSS_ENTROPY,META_CALCULATED,0.0
FGVCAC,0,10,30001,0.001,10.0,TRUE,ResNet50,SGD,24,TRUE,0.0,CROSS_ENTROPY,META_CALCULATED,0.0
FGVCAC,0,15,30001,0.001,10.0,TRUE,ResNet50,SGD,24,TRUE,0.0,CROSS_ENTROPY,META_CALCULATED,0.0
FGVCAC,0,30,30001,0.001,10.0,TRUE,ResNet50,SGD,24,TRUE,0.0,CROSS_ENTROPY,META_CALCULATED,0.0
FGVCAC,0,50,30001,0.001,10.0,TRUE,ResNet50,SGD,24,TRUE,0.0,CROSS_ENTROPY,META_CALCULATED,0.0
FGVCAC,0,100,30001,0.001,10.0,TRUE,ResNet50,SGD,24,TRUE,0.0,CROSS_ENTROPY,META_CALCULATED,0.0
FGVCAC,1,10,30001,0.001,10.0,TRUE,ResNet50,SGD,24,TRUE,0.0,CROSS_ENTROPY,META_CALCULATED,0.0
FGVCAC,1,15,30001,0.001,10.0,TRUE,ResNet50,SGD,24,TRUE,0.0,CROSS_ENTROPY,META_CALCULATED,0.0
FGVCAC,1,30,30001,0.001,10.0,TRUE,ResNet50,SGD,24,TRUE,0.0,CROSS_ENTROPY,META_CALCULATED,0.0
FGVCAC,1,50,30001,0.001,10.0,TRUE,ResNet50,SGD,24,TRUE,0.0,CROSS_ENTROPY,META_CALCULATED,0.0
FGVCAC,1,100,30001,0.001,10.0,TRUE,ResNet50,SGD,24,TRUE,0.0,CROSS_ENTROPY,META_CALCULATED,0.0
FGVCAC,2,10,30001,0.001,10.0,TRUE,ResNet50,SGD,24,TRUE,0.0,CROSS_ENTROPY,META_CALCULATED,0.0
FGVCAC,2,15,30001,0.001,10.0,TRUE,ResNet50,SGD,24,TRUE,0.0,CROSS_ENTROPY,META_CALCULATED,0.0
FGVCAC,2,30,30001,0.001,10.0,TRUE,ResNet50,SGD,24,TRUE,0.0,CROSS_ENTROPY,META_CALCULATED,0.0
FGVCAC,2,50,30001,0.001,10.0,TRUE,ResNet50,SGD,24,TRUE,0.0,CROSS_ENTROPY,META_CALCULATED,0.0
FGVCAC,2,100,30001,0.001,10.0,TRUE,ResNet50,SGD,24,TRUE,0.0,CROSS_ENTROPY,META_CALCULATED,0.0
